Date,Cusip,ISIN,ISIN-REGS,Sedol,ParentTicker,Ticker,Description,Coupon,DatedDate,MaturityDate,Country,Currency,Rating,GLIC,COBS,RatingSector,MaturitySector,CallDate,Registered,CpnFreq,IndexWeight,ParAmount(LCL),MktValue(LCL),ParAmount(USD),MktValue(USD),ExchangeRate(USD),ParAmount(EUR),MktValue(EUR),ExchangeRate(EUR),ParAmount(GBP),MktValue(GBP),ExchangeRate(GBP),ParAmount(JPY),MktValue(JPY),ExchangeRate(JPY),ParAmount(AUD),MktValue(AUD),ExchangeRate(AUD),ParAmount(CAD),MktValue(CAD),ExchangeRate(CAD),ParAmount(CHF),MktValue(CHF),ExchangeRate(CHF),ParAmount(CNY),MktValue(CNY),ExchangeRate(CNY),ParAmount(HKD),MktValue(HKD),ExchangeRate(HKD),ParAmount(SGD),MktValue(SGD),ExchangeRate(SGD),AvgLife,AccrInt,Price,YldToMat,YldToCall,YldtoWorst,CurrentYield,GrossSpread,OAS,OASToSwap,MacDur,ModDur,SemiAnnModDur,DurToWorst,SemiAnnDurToWorst,EffDur,SemiAnnEffDur,EffDurToSwap,Cnvxty,CnvxtyToSwap,DailyTotalRtn(LCL),MthToDtPrincRtn(LCL),MthToDtIncomeRtn(LCL),MthToDtReinvRtn(LCL),MthToDtTotalRtn(LCL),DailyTotalRtn(USD),MthToDtTotalRtn(USD),DailyHedgedRtn(USD),MthToDtHedgedRtn(USD),DailyTotalRtn(EUR),MthToDtTotalRtn(EUR),DailyHedgedRtn(EUR),MthToDtHedgedRtn(EUR),DailyTotalRtn(GBP),MthToDtTotalRtn(GBP),DailyHedgedRtn(GBP),MthToDtHedgedRtn(GBP),DailyTotalRtn(JPY),MthToDtTotalRtn(JPY),DailyHedgedRtn(JPY),MthToDtHedgedRtn(JPY),DailyTotalRtn(AUD),MthToDtTotalRtn(AUD),DailyHedgedRtn(AUD),MthToDtHedgedRtn(AUD),DailyTotalRtn(CAD),MthToDtTotalRtn(CAD),DailyHedgedRtn(CAD),MthToDtHedgedRtn(CAD),DailyTotalRtn(CHF),MthToDtTotalRtn(CHF),DailyHedgedRtn(CHF),MthToDtHedgedRtn(CHF),DailyTotalRtn(CNY),MthToDtTotalRtn(CNY),DailyHedgedRtn(CNY),MthToDtHedgedRtn(CNY),DailyTotalRtn(HKD),MthToDtTotalRtn(HKD),DailyHedgedRtn(HKD),MthToDtHedgedRtn(HKD),DailyTotalRtn(SGD),MthToDtTotalRtn(SGD),DailyHedgedRtn(SGD),MthToDtHedgedRtn(SGD)
20231229,05599H9Z,IT0001086567,IT0001086567,519303,RPIT,ITGV,ITALY GOVT BND,7.25000,19961101,20261101,IT,EUR,BBB,SVGN,DSOV,BBB,1-3yrs,0,REGS,2,0.05908,12423.12988,14056.91016,13723.21043,15527.96580,1.10465,12423.12988,14056.91016,1.00000,10764.99092,12180.70741,0.86653,1934698.20572,2189132.61906,155.73356,20111.68817,22756.59970,1.61889,18095.42527,20475.17571,1.45659,11550.14005,13069.11242,0.92973,97327.75298,110127.43908,7.83440,107158.37476,121250.89738,8.62571,18102.28687,20482.93969,1.45714,2.83607,1.19505,111.95606,2.82969,2.82969,2.82969,6.47575,63.12271,60.79449,34.73592,2.60152,2.56523,2.56523,2.56523,2.56523,2.55457,2.55457,2.59077,0.08150,0.08407,-0.16075,1.07336,0.55457,0.00000,1.62792,-0.69117,2.89000,-0.15722,1.78901,-0.16075,1.62792,-0.16075,1.62792,-0.51978,2.17571,-0.15611,1.74990,-0.63126,-1.88093,-0.19691,1.21463,-0.15267,-0.02020,-0.15383,1.64520,-0.69493,0.06325,-0.15709,1.69791,-0.06184,-0.41128,-0.17615,1.38880,-0.88263,2.33161,-0.18859,1.47742,-0.75472,2.86695,-0.15843,1.78588,-0.49882,1.69504,-0.16597,1.62902
20231229,05599J9K,IT0001174611,IT0001174611,536782,RPIT,ITGV,ITALY GOVT BND,6.50000,19971101,20271101,IT,EUR,BBB,SVGN,DSOV,BBB,3-5yrs,0,REGS,2,0.13310,27763.13281,31671.16211,30668.54466,34985.54922,1.10465,27763.13281,31671.16211,1.00000,24057.53425,27443.95138,0.86653,4323651.42635,4932262.72962,155.73356,44945.47470,51272.14659,1.61889,40439.54299,46131.94521,1.45659,25812.18061,29445.58750,0.92973,217507.45245,248124.51221,7.83440,239476.86442,273186.41039,8.62571,40454.87726,46149.43798,1.45714,3.83607,1.07143,113.00490,2.89167,2.89167,2.89167,5.75196,80.83639,78.67306,52.55752,3.45119,3.40200,3.40200,3.40200,3.40200,3.38699,3.38699,3.43465,0.13937,0.14361,-0.27322,1.58104,0.49534,0.00000,2.07638,-0.80303,3.34403,-0.27386,2.24298,-0.27322,2.07638,-0.27322,2.07638,-0.63184,2.62659,-0.27105,2.20075,-0.74319,-1.44796,-0.30820,1.64776,-0.26514,0.42098,-0.26446,2.08647,-0.80679,0.50480,-0.27066,2.13955,-0.17442,0.02818,-0.28599,1.82835,-0.99428,2.78317,-0.30582,1.92894,-0.86651,3.32087,-0.27539,2.23974,-0.61090,2.14379,-0.28033,2.07777
20231229,05599J9W,IT0001278511,IT0001278511,557437,RPIT,ITGV,ITALY GOVT BND,5.25000,19981101,20291101,IT,EUR,BBB,SVGN,DSOV,BBB,5-7yrs,0,REGS,2,0.14525,30820.00000,34561.58594,34045.31300,38178.45591,1.10465,30820.00000,34561.58594,1.00000,26706.39551,29948.58480,0.86653,4799708.22674,5382398.71361,155.73356,49894.20825,55951.42655,1.61889,44892.14972,50342.11196,1.45659,28654.23769,32132.89741,0.92973,241456.16886,270769.24498,7.83440,265844.52883,298118.38186,8.62571,44909.17238,50361.20119,1.45714,5.83607,0.86538,111.27474,3.12069,3.12069,3.12069,4.71805,105.54496,104.42740,79.57870,5.10850,5.03001,5.03001,5.03001,5.03001,5.01487,5.01487,5.08569,0.29835,0.30730,-0.48982,2.57956,0.41063,0.00000,2.99020,-1.01849,4.26920,-0.49861,3.16793,-0.48982,2.99020,-0.48982,2.99020,-0.84767,3.54533,-0.49249,3.11941,-0.95877,-0.56569,-0.52274,2.53064,-0.48177,1.31999,-0.47756,2.98580,-1.02224,1.40455,-0.48955,3.03962,-0.39124,0.92366,-0.49756,2.72419,-1.20932,3.70332,-0.53173,2.84892,-1.08183,4.24584,-0.50079,3.16449,-0.82677,3.05822,-0.50065,2.99218
20231229,07799M9C,BE0000291972,BE0000291972,B8CJ05,OLOB,BEGV,BELGIUM GOVT  OLO #31,5.50000,19970328,20280328,BE,EUR,AA,SVGN,DSOV,AA,3-5yrs,0,REGS,1,0.10187,20687.93945,24239.97461,22852.93232,26776.68795,1.10465,20687.93945,24239.97461,1.00000,17926.68051,21004.61873,0.86653,3221806.39804,3774977.46751,155.73356,33491.51069,39241.86701,1.61889,30133.87655,35307.74073,1.45659,19234.17048,22536.59942,0.92973,162077.56658,189905.62629,7.83440,178448.26464,209087.10671,8.62571,30145.30302,35321.12908,1.45714,4.24044,4.17760,112.99200,2.25052,2.25052,2.25052,4.86760,17.37345,15.76076,-10.33875,3.78370,3.70042,3.74183,3.70042,3.74183,3.68350,3.72479,3.73491,0.18273,0.18810,-0.19414,1.52412,0.40525,0.00000,1.92937,-0.72438,3.19520,-0.19297,2.09483,-0.19414,1.92937,-0.19414,1.92937,-0.55305,2.47879,-0.19101,2.05322,-0.66449,-1.58989,-0.23104,1.50392,-0.18606,0.27636,-0.18677,1.94082,-0.72814,0.36006,-0.19206,1.99379,-0.09526,-0.11588,-0.20862,1.68318,-0.91578,2.63515,-0.22488,1.78144,-0.78791,3.17208,-0.19441,2.09162,-0.53209,1.99669,-0.20065,1.93071
20231229,08013Z9H,DE0001135044,DE0001135044,528660,BUND,DEGV,GERMANY GOVT BUND,6.50000,19970704,20270704,DE,EUR,AAA,SVGN,DSOV,AAA,3-5yrs,0,REGS,1,0.06811,13750.00000,16206.26270,15188.93750,17902.24809,1.10465,13750.00000,16206.26270,1.00000,11914.76114,14043.18174,0.86653,2141336.40875,2523858.93522,155.73356,22259.74573,26236.16632,1.61889,20028.13299,23605.90433,1.45659,12783.76925,15067.42710,0.92973,107722.98254,126966.32388,7.83440,118603.57792,139790.59929,8.62571,20035.72746,23614.85545,1.45714,3.50820,3.19672,114.66700,2.11325,2.11325,2.11325,5.66859,-0.50244,-2.66529,-29.14845,3.18530,3.11938,3.15217,3.11938,3.15217,3.10430,3.13720,3.14544,0.13288,0.13662,-0.22579,1.14933,0.47469,0.00000,1.62402,-0.75585,2.88606,-0.22355,1.78582,-0.22579,1.62402,-0.22579,1.62402,-0.58458,2.17180,-0.22184,1.74627,-0.69598,-1.88469,-0.26065,1.20874,-0.21771,-0.02403,-0.21791,1.64022,-0.75962,0.05941,-0.22184,1.69295,-0.12694,-0.41510,-0.24000,1.38375,-0.94719,2.32769,-0.25497,1.47408,-0.81936,2.86301,-0.22482,1.78267,-0.56363,1.69114,-0.23145,1.62517
20231229,08013Z9L,DE0001135069,DE0001135069,540158,BUND,DEGV,GERMANY GOVT BUND,5.62500,19980104,20280104,DE,EUR,AAA,SVGN,DSOV,AAA,3-5yrs,0,REGS,1,0.08520,17000.00000,20273.58008,18779.05000,22395.21023,1.10465,17000.00000,20273.58008,1.00000,14730.97741,17567.62648,0.86653,2647470.46900,3157276.73869,155.73356,27521.14018,32820.70819,1.61889,24762.05533,29530.32421,1.45659,15805.38743,18848.92869,0.92973,133184.77841,158831.31002,7.83440,146637.15088,174874.11887,8.62571,24771.44485,29541.52182,1.45714,4.01096,5.56336,113.69300,2.03511,2.03511,2.03511,4.94753,-4.96697,-6.48098,-32.64659,3.54870,3.47792,3.51313,3.47792,3.51313,3.46320,3.49861,3.51330,0.16506,0.16984,-0.25908,1.22722,0.40715,0.00000,1.63436,-0.78897,2.89653,-0.25747,1.79639,-0.25908,1.63436,-0.25908,1.63436,-0.61775,2.18219,-0.25545,1.75671,-0.72912,-1.87471,-0.29316,1.21844,-0.25100,-0.01386,-0.25068,1.65024,-0.79273,0.06959,-0.25489,1.70298,-0.16026,-0.40497,-0.27266,1.39371,-0.98024,2.33810,-0.28888,1.48457,-0.85245,2.87347,-0.25877,1.79324,-0.59681,1.70149,-0.26493,1.63552
20231229,08013Z9R,DE0001135085,DE0001135085,555165,BUND,DEGV,GERMANY GOVT BUND,4.75000,19980704,20280704,DE,EUR,AAA,SVGN,DSOV,AAA,3-5yrs,0,REGS,1,0.06585,13750.00000,15667.58398,15188.93750,17307.19665,1.10465,13750.00000,15667.58398,1.00000,11914.76114,13576.40151,0.86653,2141336.40875,2439968.58348,155.73356,22259.74573,25364.10442,1.61889,20028.13299,22821.26950,1.45659,12783.76925,14566.60206,0.92973,107722.98254,122746.10007,7.83440,118603.57792,135144.11039,8.62571,20035.72746,22829.92310,1.45714,4.50820,2.33607,111.61000,2.02648,2.02648,2.02648,4.25589,-4.51891,-5.75029,-31.77458,4.10368,4.02217,4.06272,4.02217,4.06272,4.00391,4.04423,4.05936,0.20955,0.21563,-0.48390,1.35414,0.35913,0.00000,1.71327,-1.01260,2.97641,-0.48637,1.87632,-0.48390,1.71327,-0.48390,1.71327,-0.84177,2.26152,-0.48234,1.83606,-0.95288,-1.79853,-0.51237,1.29449,-0.47584,0.06377,-0.47186,1.72780,-1.01635,0.14729,-0.47776,1.78061,-0.38531,-0.32764,-0.49314,1.47096,-1.20344,2.41755,-0.51767,1.56406,-1.07594,2.95334,-0.48782,1.87315,-0.82087,1.78045,-0.49091,1.71448
20231229,08013Z9V,DE0001135325,DE0001135325,B1P8H1,BUND,DEGV,GERMANY GOVT BUND,4.25000,20070126,20390704,DE,EUR,AAA,SVGN,DSOV,AAA,10+yrs,0,REGS,1,0.10348,19250.00000,24622.13086,21264.51250,27198.83685,1.10465,19250.00000,24622.13086,1.00000,16680.66559,21335.76785,0.86653,2997870.97225,3834492.01965,155.73356,31163.64402,39860.53617,1.61889,28039.38618,35864.38628,1.45659,17897.27695,22891.90104,0.92973,150812.17555,192899.59073,7.83440,166045.00908,212383.47751,8.62571,28050.01844,35877.98569,1.45714,15.50820,2.09016,125.81700,2.25745,2.25745,2.25745,3.37792,-28.57094,-26.66077,-29.02001,11.94439,11.68071,11.81182,11.68071,11.81182,11.81651,11.94823,11.91605,1.75332,1.78600,-1.05910,5.11884,0.29667,0.00000,5.41551,-1.58474,6.72463,-1.08904,5.62427,-1.05910,5.41551,-1.05910,5.41551,-1.41490,5.98372,-1.07444,5.55815,-1.52537,1.77589,-1.08776,4.86965,-1.05109,3.70596,-1.03821,5.37040,-1.58847,3.79253,-1.06555,5.42624,-0.96108,3.30031,-1.05420,5.09935,-1.77448,6.14542,-1.12534,5.29173,-1.64772,6.70072,-1.09292,5.62027,-1.39412,5.48513,-1.07976,5.41915
20231229,08013Z9X,DE0001135366,DE0001135366,B3BXJ6,BUND,DEGV,GERMANY GOVT BUND,4.75000,20080704,20400704,DE,EUR,AAA,SVGN,DSOV,AAA,10+yrs,0,REGS,1,0.12298,21500.00000,29262.37500,23749.97500,32324.68254,1.10465,21500.00000,29262.37500,1.00000,18630.35378,25356.66971,0.86653,3348271.47550,4557133.74502,155.73356,34806.14787,47372.58378,1.61889,31316.71704,42623.32640,1.45659,19989.16646,27206.06906,0.92973,168439.57269,229253.11354,7.83440,185452.86729,252408.89988,8.62571,31328.59202,42639.48874,1.45714,16.50820,2.33607,133.76800,2.27290,2.27290,2.27290,3.55092,-28.96587,-26.53748,-27.36188,12.29884,12.02551,12.16141,12.02551,12.16141,12.16358,12.30013,12.26156,1.88723,1.92119,-1.09588,5.12202,0.31166,0.00000,5.43368,-1.62133,6.74302,-1.12647,5.64266,-1.09588,5.43368,-1.09588,5.43368,-1.45155,6.00199,-1.11155,5.57642,-1.56198,1.79343,-1.12368,4.88721,-1.08788,3.72384,-1.07443,5.38828,-1.62506,3.81042,-1.10204,5.44413,-0.99790,3.31811,-1.09030,5.11716,-1.81100,6.16372,-1.16275,5.31002,-1.68428,6.71911,-1.13037,5.63865,-1.43078,5.50331,-1.11673,5.43733
20231229,08026Z9L,IT0003256820,IT0003256820,733531,RPIT,ITGV,ITALY GOVT BND,5.75000,20020201,20330201,IT,EUR,BBB,SVGN,DSOV,BBB,7-10yrs,0,REGS,2,0.13637,27261.00000,32448.99805,30113.86365,35844.78569,1.10465,27261.00000,32448.99805,1.00000,23622.42207,28117.96807,0.86653,4245452.49738,5053397.88693,155.73356,44132.57661,52531.37787,1.61889,39708.14061,47264.93441,1.45659,25345.33334,30168.76388,0.92973,213573.54378,254218.38909,7.83440,235145.61000,279895.80132,8.62571,39723.19754,47282.85681,1.45714,9.08767,2.37500,116.65584,3.58520,3.58520,3.58520,4.92903,133.06117,134.26371,121.46970,7.22068,7.09352,7.09352,7.09352,7.09352,7.11456,7.11456,7.19478,0.62094,0.63641,-0.87134,3.42778,0.42260,0.00000,3.85038,-1.39798,5.14006,-0.89036,4.03842,-0.87134,3.85038,-0.87134,3.85038,-1.22782,4.41015,-0.87978,3.98409,-1.33850,0.26480,-0.89764,3.36219,-0.86332,2.16622,-0.85303,3.83261,-1.40172,2.25149,-0.87123,3.88712,-0.77314,1.76659,-0.87116,3.56774,-1.58809,4.56946,-0.92432,3.71476,-1.46108,5.11651,-0.89318,4.03479,-1.20700,3.91897,-0.88622,3.85291
