Date,IndexTicker,NumIssues,Coupon,Rating,ParAmount(LCL),MktValue(LCL),ParAmount(USD),MktValue(USD),ParAmount(EUR),MktValue(EUR),ParAmount(GBP),MktValue(GBP),ParAmount(JPY),MktValue(JPY),ParAmount(AUD),MktValue(AUD),ParAmount(CAD),MktValue(CAD),ParAmount(CHF),MktValue(CHF),ParAmount(CNY),MktValue(CNY),ParAmount(HKD),MktValue(HKD),ParAmount(SGD),MktValue(SGD),AvgLife,Price,YldtoMat,YldToCall,YldtoWorst,CurrentYield,GrossSpread,OAS,OASToSwap,MacDur,ModDur,SemiAnnModDur,DurToWorst,SemiAnnDurToWorst,EffDur,SemiAnnEffDur,EffDurToSwap,Cnvxty,CnvxtyToSwap,DailyTotalRtn(LCL),MthToDtPrincRtn(LCL),MthToDtIncomeRtn(LCL),MthToDtTotalRtn(LCL),IndexValue(LCL),DailyTotalRtn(USD),MthToDtTotalRtn(USD),IndexValue(USD),DailyHedgedRtn(USD),MthToDtHedgedRtn(USD),IndexValueHedged(USD),DailyTotalRtn(EUR),MthToDtTotalRtn(EUR),IndexValue(EUR),DailyHedgedRtn(EUR),MthToDtHedgedRtn(EUR),IndexValueHedged(EUR),DailyTotalRtn(GBP),MthToDtTotalRtn(GBP),IndexValue(GBP),DailyHedgedRtn(GBP),MthToDtHedgedRtn(GBP),IndexValueHedged(GBP),DailyTotalRtn(JPY),MthToDtTotalRtn(JPY),IndexValue(JPY),DailyHedgedRtn(JPY),MthToDtHedgedRtn(JPY),IndexValueHedged(JPY),DailyTotalRtn(AUD),MthToDtTotalRtn(AUD),IndexValue(AUD),DailyHedgedRtn(AUD),MthToDtHedgedRtn(AUD),IndexValueHedged(AUD),DailyTotalRtn(CAD),MthToDtTotalRtn(CAD),IndexValue(CAD),DailyHedgedRtn(CAD),MthToDtHedgedRtn(CAD),IndexValueHedged(CAD),DailyTotalRtn(CHF),MthToDtTotalRtn(CHF),IndexValue(CHF),DailyHedgedRtn(CHF),MthToDtHedgedRtn(CHF),IndexValueHedged(CHF),DailyTotalRtn(CNY),MthToDtTotalRtn(CNY),IndexValue(CNY),DailyHedgedRtn(CNY),MthToDtHedgedRtn(CNY),IndexValueHedged(CNY),DailyTotalRtn(HKD),MthToDtTotalRtn(HKD),IndexValue(HKD),DailyHedgedRtn(HKD),MthToDtHedgedRtn(HKD),IndexValueHedged(HKD),DailyTotalRtn(SGD),MthToDtTotalRtn(SGD),IndexValue(SGD),DailyHedgedRtn(SGD),MthToDtHedgedRtn(SGD),IndexValueHedged(SGD)
20231229,WGBI,1247,2.2078,AA,,,27900679.7263,26284650.9300,25257484.0233,23794551.1520,21886319.2080,20618646.7917,3933437827.8153,3705610088.1158,40889103.4312,38520775.1594,36789836.2871,34658940.7163,23482607.0916,22122476.4553,197877200.7549,186416001.3260,217863852.6769,205245011.0197,36803786.6270,34672083.0418,9.6367,93.5581,3.1843,3.1889,3.1889,2.3660,10.1004,10.2238,22.4835,7.4326,7.2962,7.3209,7.2962,7.3209,7.3806,7.4056,7.3809,1.1349,1.1277,-0.2853,2.8104,0.2049,3.0153,726.4614,-0.4618,4.1968,878.6337,-0.2854,3.1604,887.4211,0.0698,2.9186,562.8219,-0.2799,2.9825,867.6552,-0.2901,3.4734,798.2692,-0.2810,3.1118,1478.1061,-0.4018,-0.6348,492.1326,-0.3185,2.5223,341.2779,0.0779,1.2496,1068.8623,-0.2710,2.9778,2324.6684,-0.4656,1.3341,879.4678,-0.2820,3.0316,1100.2275,0.1689,0.8535,283.8780,-0.2916,2.7161,433.5204,-0.6537,3.6313,112.7645,-0.3188,2.8414,166.8135,-0.5255,4.1734,877.3472,-0.2875,3.1570,802.1139,-0.2690,2.9866,532.0201,-0.2899,2.9845,613.6130
20231229,WGBI_3A,210,1.7317,AAA,,,3145189.9548,2997123.8728,2847227.5877,2713188.6777,2467202.6630,2351054.1832,443408879.8226,422534523.5861,4609349.9740,4392355.6427,4147247.4744,3952007.5387,2647149.1254,2522529.3075,22306316.1972,21256201.9306,24559373.0213,23403191.6169,4148820.0693,3953506.1006,9.0068,94.5726,2.6347,2.6431,2.6431,1.8410,-9.4582,-9.2719,-18.2508,7.4492,7.2986,7.3544,7.2986,7.3544,7.3326,7.3893,7.3598,1.0543,1.0538,-0.4494,3.1875,0.1585,3.3460,230.2454,-0.8882,5.2081,199.6008,-0.4600,3.5238,259.5599,-0.3588,3.9176,212.1860,-0.4497,3.3409,212.9840,-0.7172,4.4777,260.5082,-0.4535,3.4723,280.3396,-0.8284,0.3296,249.4656,-0.4856,2.8670,143.5482,-0.3508,2.2323,179.4316,-0.4382,3.3296,385.5275,-0.8920,2.3176,171.3500,-0.4521,3.3837,266.7224,-0.2601,1.8324,122.3109,-0.4579,3.0666,162.0722,-1.0793,4.6371,108.8571,-0.4938,3.2027,170.1384,-0.9516,5.1845,201.1789,-0.4624,3.5203,236.7543,-0.6962,3.9862,159.5718,-0.4617,3.3432,216.2396
20231229,WGBI_2A,497,2.3100,AA+,,,16433353.9051,15073303.4567,14876525.5105,13645320.6507,12890927.1298,11824053.5431,2316774233.5440,2125034321.3314,24083467.2897,22090281.3171,21669020.4593,19875657.9381,13831132.3142,12686445.8544,116548632.5659,106902882.7759,128320665.6358,117700643.7071,21677237.1362,19883194.5898,9.4124,91.0795,3.7734,3.7767,3.7767,2.5412,3.6632,3.8088,29.7697,6.8826,6.7359,6.7567,6.7359,6.7567,6.7697,6.7907,6.7850,1.0015,1.0001,-0.2037,3.4451,0.2211,3.6662,158.2694,-0.3190,3.9869,162.9753,-0.2079,3.7086,209.2390,0.2134,2.7114,173.2511,-0.2007,3.5235,169.9591,-0.1469,3.2650,212.7065,-0.2032,3.6559,223.8203,-0.2588,-0.8349,203.6902,-0.2438,3.0435,116.6631,0.2216,1.0457,146.5070,-0.1932,3.5094,307.5253,-0.3227,1.1301,139.9083,-0.2066,3.5637,212.8154,0.3127,0.6505,99.8676,-0.2133,3.2456,130.2114,-0.5111,3.4226,116.0677,-0.2422,3.3865,149.4370,-0.3827,3.9636,164.2637,-0.2103,3.7050,190.8062,-0.1259,2.7792,130.2913,-0.2123,3.5259,173.6818
20231229,WGBI_1A,435,1.8157,A+,,,6292233.8660,6250644.9028,5696133.4957,5658484.4999,4935859.6376,4903235.7254,887079130.4296,881215918.3930,9221416.9649,9160467.3595,8296939.5757,8242100.3688,5295858.6333,5260855.2824,44625781.0245,44330823.7794,49133222.7544,48808473.2556,8300085.6926,8245225.6912,10.9438,98.7545,1.7786,1.7859,1.7859,1.8447,10.3119,10.2301,7.7803,9.1264,9.0184,9.0456,9.0184,9.0456,9.2686,9.2960,9.1983,1.6260,1.5954,-0.3074,1.0653,0.1577,1.2230,201.2854,-0.3947,4.0785,185.9068,-0.2864,1.6111,208.3568,0.1373,2.8018,161.3273,-0.2892,1.4533,174.2046,-0.2228,3.3559,220.7752,-0.2846,1.5739,221.0252,-0.3346,-0.7476,247.7117,-0.3205,1.0492,128.4838,0.1454,1.1347,163.5794,-0.2800,1.4751,304.1519,-0.3984,1.2191,165.4429,-0.2826,1.5276,210.9186,0.2365,0.7391,96.2231,-0.3023,1.2195,137.9014,-0.5867,3.5136,87.3316,-0.3172,1.3007,154.4489,-0.4584,4.0552,186.2228,-0.2875,1.6080,188.8212,-0.2017,2.8697,141.8332,-0.2940,1.4542,180.5338
20231229,WGBI_3B,105,3.3338,BBB,,,2029902.0004,1963578.6977,1837597.4294,1777557.3238,1592329.7775,1540303.3399,286175584.0191,276825324.8053,2974869.2026,2877670.8401,2676628.7778,2589174.8708,1708467.0187,1652646.0109,14396470.9674,13926092.8400,15850591.2654,15332702.4401,2677643.7288,2590156.6602,8.3762,95.9443,3.9757,3.9757,3.9757,3.4812,88.6950,89.2054,75.5312,6.2367,6.1111,6.1111,6.1111,6.1111,6.1331,6.1331,6.2026,0.7193,0.7308,-0.5959,2.9235,0.3010,3.2245,140.5357,-1.1099,4.6580,94.6532,-0.6139,3.3363,159.0844,-0.5818,3.3743,142.1797,-0.6024,3.1564,134.8482,-0.9393,3.9315,132.2801,-0.6066,3.2866,149.6595,-1.0503,-0.1949,157.4436,-0.6331,2.6909,130.9702,-0.5737,1.6978,153.8182,-0.5884,3.1492,183.5248,-1.1137,1.7827,128.4284,-0.6019,3.2032,159.8553,-0.4833,1.3000,97.3229,-0.6079,2.8869,125.1641,-1.3006,4.0900,102.5254,-0.6472,3.0164,183.6796,-1.1732,4.6346,95.4263,-0.6162,3.3329,152.0566,-0.9184,3.4425,98.7678,-0.6142,3.1585,156.4918
20231229,WGBI_1-3,287,2.0859,AA,,,7046183.4260,6912925.5688,6378656.9737,6258023.4181,5527285.3985,5422753.0348,993370939.3914,974584246.6908,10326347.8068,10131055.2778,9291097.4655,9115383.6550,5930420.2805,5818263.8050,49972942.0936,49027850.7191,55020475.5908,53979924.9503,9294620.5572,9118840.1178,1.8639,97.5147,3.5111,3.5157,3.5157,2.1462,2.7465,3.2594,4.1380,1.8238,1.7866,1.7929,1.7866,1.7929,1.7814,1.7878,1.8007,0.0463,0.0474,0.0356,0.8234,0.1822,1.0056,455.6568,-0.1065,1.8190,545.9123,0.0425,1.0999,534.7580,0.4271,0.5700,349.6923,0.0322,0.9471,528.3622,0.0659,1.1121,495.9803,0.0408,1.0655,893.6905,-0.0462,-2.9023,305.7716,-0.0064,0.5570,211.3709,0.4352,-1.0610,664.1051,0.0359,0.9753,1405.9408,-0.1103,-0.9784,546.4306,0.0373,1.0274,662.0491,0.5265,-1.4480,176.3789,0.0123,0.7215,265.4301,-0.2991,1.2664,104.6582,0.0120,0.7920,143.1700,-0.1704,1.7961,545.1130,0.0418,1.0969,483.3829,0.0870,0.6364,330.5545,0.0300,0.9478,371.1750
20231229,WGBI_3-5,213,2.0719,AA,,,5360477.6726,5195885.2555,4852648.0538,4703648.4456,4204955.8147,4075843.4699,755720142.2876,732515903.3183,7855906.3129,7614692.2481,7068325.8591,6851294.2979,4511646.0332,4373116.8253,38017579.7498,36850257.4090,41857557.9306,40572329.8117,7071006.0980,6853892.2405,3.9588,96.3330,3.0879,3.0921,3.0921,2.1569,6.5144,7.0229,14.5423,3.7972,3.7268,3.7400,3.7268,3.7400,3.7129,3.7261,3.7509,0.1684,0.1720,-0.0328,1.6507,0.1846,1.8353,594.9782,-0.1913,2.7319,753.5544,-0.0277,1.9469,732.8032,0.3418,1.4717,482.7005,-0.0324,1.7835,718.5264,-0.0191,2.0187,684.6303,-0.0274,1.9064,1219.6611,-0.1311,-2.0317,422.0743,-0.0728,1.3639,285.0942,0.3499,-0.1739,916.7027,-0.0276,1.7977,1924.1463,-0.1951,-0.0905,754.2697,-0.0311,1.8506,907.4046,0.4412,-0.5643,243.4660,-0.0501,1.5407,360.0215,-0.3837,2.1743,109.1940,-0.0595,1.6343,155.7756,-0.2552,2.7088,752.4510,-0.0290,1.9437,662.2683,0.0020,1.5387,456.2835,-0.0377,1.7847,507.2125
20231229,WGBI_5-7,148,2.2279,AA,,,3444066.0178,3306001.8099,3117789.3612,2992804.7887,2701652.0378,2593349.3959,485544427.1921,466080135.1551,5047359.8854,4845023.5361,4541345.4511,4359293.9865,2898698.1639,2782496.4233,24426005.0116,23446826.0359,26893161.7034,25815080.4324,4543067.4841,4360946.9874,5.9313,95.3497,3.0635,3.0685,3.0685,2.3431,13.0835,13.3914,21.6696,5.5469,5.4420,5.4639,5.4420,5.4639,5.4289,5.4509,5.4829,0.3466,0.3536,-0.1593,2.4248,0.2018,2.6267,754.5610,-0.3495,3.5556,1055.2357,-0.1577,2.7509,985.6538,0.1827,2.2853,675.9470,-0.1562,2.5777,962.9351,-0.1775,2.8367,958.7183,-0.1550,2.7049,1640.2680,-0.2894,-1.2462,591.0494,-0.1966,2.1308,379.1308,0.1908,0.6266,1283.6995,-0.1494,2.5791,2584.5097,-0.3533,0.7106,1056.2374,-0.1577,2.6326,1222.5072,0.2820,0.2330,340.9363,-0.1707,2.3190,481.6518,-0.5416,2.9936,120.0074,-0.1906,2.4340,170.1342,-0.4133,3.5324,1053.6907,-0.1595,2.7475,890.7587,-0.1565,2.3529,638.9541,-0.1646,2.5794,680.9640
20231229,WGBI_7-10,165,2.2525,AA,,,3755644.2805,3586003.4146,3399849.9800,3246280.1924,2946065.4851,2812992.9515,529470730.6582,505554761.3850,5503985.1696,5255372.4842,4952192.5482,4728504.1024,3160938.0086,3018159.7739,26635780.3658,25432653.4168,29326136.1461,28001486.9628,4954070.3703,4730297.1041,8.4082,94.8547,2.9810,2.9855,2.9855,2.3793,16.0695,16.2932,23.6832,7.6439,7.5056,7.5331,7.5056,7.5331,7.5168,7.5444,7.5767,0.6543,0.6643,-0.3589,3.1650,0.2068,3.3718,868.9601,-0.5856,4.7052,1161.7499,-0.3613,3.5328,1155.9256,-0.0546,3.4209,744.1762,-0.3527,3.3502,1123.1374,-0.4140,3.9784,1055.4901,-0.3556,3.4815,1918.3304,-0.5256,-0.1499,650.7092,-0.3909,2.8771,440.4692,-0.0465,1.7437,1413.2745,-0.3427,3.3393,3020.3341,-0.5894,1.8286,1162.8527,-0.3559,3.3935,1433.8770,0.0444,1.3457,375.3500,-0.3626,3.0763,561.8922,-0.7773,4.1370,117.7532,-0.3952,3.2117,184.5024,-0.6492,4.6818,1160.0489,-0.3636,3.5293,1044.7637,-0.3930,3.4892,703.4493,-0.3642,3.3524,797.7626
20231229,WGBI_10-15,102,2.4582,AA-,,,1433771.5393,1430377.8975,1297941.9176,1294869.7755,1124703.1215,1122041.0241,202133111.6120,201654675.9900,2101225.9681,2096252.5060,1890571.1517,1886096.2956,1206733.8161,1203877.5574,10168594.5111,10144526.1247,11195676.7533,11169177.3315,1891288.0375,1886811.4846,12.3858,98.8012,2.5191,2.5255,2.5255,2.4961,24.6651,25.0102,24.4442,10.6725,10.4944,10.5446,10.4944,10.5446,10.6433,10.6939,10.6695,1.3278,1.3352,-0.7129,3.4850,0.2172,3.7022,1234.2951,-1.0213,6.1872,1368.0333,-0.7186,3.9872,1328.9809,-0.4926,4.8847,876.3141,-0.7025,3.7997,1291.8474,-0.8505,5.4501,1242.9057,-0.7095,3.9332,2197.5566,-0.9616,1.2634,766.2509,-0.7330,3.3129,507.1815,-0.4846,3.1838,1664.2194,-0.6869,3.7825,3448.2805,-1.0250,3.2699,1369.3320,-0.7039,3.8370,1637.5104,-0.3941,2.7802,441.9982,-0.7055,3.5179,647.4827,-1.2121,5.6110,115.6758,-0.7527,3.6638,200.3570,-1.0846,6.1635,1366.0303,-0.7214,3.9836,1201.5448,-0.8296,4.9540,828.3556,-0.7166,3.8022,915.7343
