Date,Cusip,ISIN,ISIN-REGS,Sedol,ParentTicker,Ticker,Description,Coupon,DatedDate,MaturityDate,Country,Currency,Rating,GLIC,COBS,RatingSector,MaturitySector,CallDate,Registered,CpnFreq,IndexWeight,ParAmount(LCL),MktValue(LCL),ParAmount(USD),MktValue(USD),ExchangeRate(USD),ParAmount(EUR),MktValue(EUR),ExchangeRate(EUR),ParAmount(GBP),MktValue(GBP),ExchangeRate(GBP),ParAmount(JPY),MktValue(JPY),ExchangeRate(JPY),ParAmount(AUD),MktValue(AUD),ExchangeRate(AUD),ParAmount(CAD),MktValue(CAD),ExchangeRate(CAD),ParAmount(CHF),MktValue(CHF),ExchangeRate(CHF),ParAmount(CNY),MktValue(CNY),ExchangeRate(CNY),ParAmount(HKD),MktValue(HKD),ExchangeRate(HKD),ParAmount(SGD),MktValue(SGD),ExchangeRate(SGD),AvgLife,AccrInt,Price,YldToMat,YldToCall,YldtoWorst,CurrentYield,GrossSpread,OAS,OASToSwap,MacDur,ModDur,SemiAnnModDur,DurToWorst,SemiAnnDurToWorst,EffDur,SemiAnnEffDur,EffDurToSwap,Cnvxty,CnvxtyToSwap
202312,05599H9Z,IT0001086567,IT0001086567,519303,RPIT,ITGV,ITALY GOVT BND,7.25000,19961101,20261101,IT,EUR,BBB,SVGN,DSOV,BBB,1-3yrs,0,REGS,2,0.05974,12423.12988,13831.74023,13554.87702,15091.81177,1.09110,12423.12988,13831.74023,1.00000,10707.27676,11921.33320,0.86188,2003885.24353,2231097.99298,161.30277,20443.21999,22761.19715,1.64558,18378.38000,20462.23299,1.47937,11786.64331,13123.08492,0.94877,96658.47251,107618.20055,7.78052,105867.65595,117871.57747,8.52182,18090.33886,20141.53199,1.45618,2.92076,0.57761,110.76100,3.34976,3.34976,3.34976,6.54563,68.62653,66.85457,38.92967,2.68475,2.64053,2.64053,2.64053,2.64053,2.63141,2.63141,2.67028,0.08585,0.08857
202312,05599J9K,IT0001174611,IT0001174611,536782,RPIT,ITGV,ITALY GOVT BND,6.50000,19971101,20271101,IT,EUR,BBB,SVGN,DSOV,BBB,3-5yrs,0,REGS,2,0.13401,27763.13281,31026.92773,30292.35421,33853.48085,1.09110,27763.13281,31026.92773,1.00000,23928.55501,26741.56235,0.86188,4478270.18489,5004729.34160,161.30277,45686.37993,51057.20662,1.64558,41071.88846,45900.24201,1.47937,26340.71660,29437.29427,0.94877,216011.74865,241405.78660,7.78052,236592.37410,264405.84149,8.52182,40428.17593,45180.85554,1.45618,3.92076,0.51786,111.23800,3.41205,3.41205,3.41205,5.84333,86.38827,84.62638,57.21124,3.53213,3.47288,3.47288,3.47288,3.47288,3.45912,3.45912,3.50894,0.14468,0.14915
202312,05599J9W,IT0001278511,IT0001278511,557437,RPIT,ITGV,ITALY GOVT BND,5.25000,19981101,20291101,IT,EUR,BBB,SVGN,DSOV,BBB,5-7yrs,0,REGS,2,0.14495,30820.00000,33558.13281,33627.70200,36615.27871,1.09110,30820.00000,33558.13281,1.00000,26563.21498,28923.16340,0.86188,4971351.32517,5413019.72835,161.30277,50716.69105,55222.50013,1.64558,45594.11976,49644.82564,1.47937,29240.96827,31838.81560,0.94877,239795.78019,261099.89097,7.78052,262642.44093,285976.31132,8.52182,44879.53109,48866.75097,1.45618,5.92076,0.41827,108.46600,3.64656,3.64656,3.64656,4.84023,113.61351,112.60463,87.56045,5.18169,5.08891,5.08891,5.08891,5.08891,5.07329,5.07329,5.14522,0.30473,0.31386
202312,07799M9C,BE0000291972,BE0000291972,B8CJ05,OLOB,BEGV,BELGIUM GOVT  OLO #31,5.50000,19970328,20280328,BE,EUR,AA,SVGN,DSOV,AA,3-5yrs,0,REGS,1,0.10272,20687.93945,23781.15039,22572.61074,25947.61319,1.09110,20687.93945,23781.15039,1.00000,17830.57051,20496.55452,0.86188,3337021.90835,3835965.39612,161.30277,34043.60265,39133.72022,1.64558,30605.07427,35181.07135,1.47937,19628.01367,22562.74705,0.94877,160963.02991,185029.83491,7.78052,176298.86164,202658.64331,8.52182,30125.40629,34629.68456,1.45618,4.32514,3.71175,111.24000,2.70714,2.70714,2.70714,4.94426,16.48844,15.18924,-12.21731,3.86315,3.76133,3.81190,3.76133,3.81190,3.74516,3.79560,3.79882,0.18780,0.19342
202312,08013Z9H,DE0001135044,DE0001135044,528660,BUND,DEGV,GERMANY GOVT BUND,6.50000,19970704,20270704,DE,EUR,AAA,SVGN,DSOV,AAA,3-5yrs,0,REGS,1,0.06888,13750.00000,15947.27344,15002.62500,17400.07005,1.09110,13750.00000,15947.27344,1.00000,11850.88274,13744.67400,0.86188,2217913.06688,2572339.35550,161.30277,22626.68728,26242.47047,1.64558,20341.30911,23591.88497,1.47937,13045.53257,15130.23091,0.94877,106982.21861,124078.15950,7.78052,117175.00204,135899.76709,8.52182,20022.50332,23222.13349,1.45618,3.59290,2.64617,113.33400,2.56219,2.56219,2.56219,5.73526,-3.02363,-4.66221,-32.29487,3.26712,3.18550,3.22605,3.18550,3.22605,3.17208,3.21276,3.21547,0.13769,0.14162
202312,08013Z9L,DE0001135069,DE0001135069,540158,BUND,DEGV,GERMANY GOVT BUND,5.62500,19980104,20280104,DE,EUR,AAA,SVGN,DSOV,AAA,3-5yrs,0,REGS,1,0.08616,17000.00000,19947.56445,18548.70000,21764.78757,1.09110,17000.00000,19947.56445,1.00000,14652.00047,17192.45434,0.86188,2742147.06450,3217597.37112,161.30277,27974.81336,32825.25839,1.64558,25149.25490,29509.78723,1.47937,16129.02209,18925.57104,0.94877,132268.92483,155202.52372,7.78052,144870.91161,169989.52040,8.52182,24755.09502,29047.28550,1.45618,4.09589,5.08562,112.25300,2.44337,2.44337,2.44337,5.01100,-10.99493,-12.24139,-39.93362,3.62889,3.54234,3.58535,3.54234,3.58535,3.52776,3.57095,3.58008,0.17011,0.17526
202312,08013Z9R,DE0001135085,DE0001135085,555165,BUND,DEGV,GERMANY GOVT BUND,4.75000,19980704,20280704,DE,EUR,AAA,SVGN,DSOV,AAA,3-5yrs,0,REGS,1,0.06653,13750.00000,15403.67773,15002.62500,16806.95278,1.09110,13750.00000,15403.67773,1.00000,11850.88274,13276.15844,0.86188,2217913.06688,2484655.86364,161.30277,22626.68728,25347.94175,1.64558,20341.30911,22787.70692,1.47937,13045.53257,14614.48579,0.94877,106982.21861,119848.69955,7.78052,117175.00204,131267.34327,8.52182,20022.50332,22430.55917,1.45618,4.59290,1.93374,110.09300,2.39975,2.39975,2.39975,4.31453,-13.41944,-14.36664,-41.37975,4.18449,4.08643,4.13517,4.08643,4.13517,4.06897,4.11759,4.12646,0.21534,0.22168
202312,08013Z9V,DE0001135325,DE0001135325,B1P8H1,BUND,DEGV,GERMANY GOVT BUND,4.25000,20070126,20390704,DE,EUR,AAA,SVGN,DSOV,AAA,10+yrs,0,REGS,1,0.10089,19250.00000,23357.21680,21003.67500,25485.05925,1.09110,19250.00000,23357.21680,1.00000,16591.23583,20131.17362,0.86188,3105078.29363,3767583.73379,161.30277,31677.36219,38436.10474,1.64558,28477.83275,34553.91758,1.47937,18263.74560,22160.53327,0.94877,149775.10606,181731.40898,7.78052,164045.00285,199045.95824,8.52182,28031.50466,34012.36007,1.45618,15.59290,1.73019,119.60600,2.69257,2.69257,2.69257,3.55333,-29.86196,-28.45312,-28.37632,11.92110,11.60853,11.76378,11.60853,11.76378,11.74890,11.90544,11.83398,1.73968,1.76855
202312,08013Z9X,DE0001135366,DE0001135366,B3BXJ6,BUND,DEGV,GERMANY GOVT BUND,4.75000,20080704,20400704,DE,EUR,AAA,SVGN,DSOV,AAA,10+yrs,0,REGS,1,0.11988,21500.00000,27754.29297,23458.65000,30282.70906,1.09110,21500.00000,27754.29297,1.00000,18530.47119,23920.93610,0.86188,3468009.52275,4476844.29362,161.30277,35379.91102,45671.83328,1.64558,31806.41060,41058.81108,1.47937,20398.46911,26332.32966,0.94877,167281.28728,215942.97002,7.78052,183219.09410,236517.04256,8.52182,31307.91429,40415.30351,1.45618,16.59290,1.93374,127.15600,2.69718,2.69718,2.69718,3.73557,-31.36536,-29.42609,-27.48789,12.25822,11.93628,12.09618,11.93628,12.09618,12.07870,12.23991,12.16045,1.86892,1.89833
202312,08026Z9L,IT0003256820,IT0003256820,733531,RPIT,ITGV,ITALY GOVT BND,5.75000,20020201,20330201,IT,EUR,BBB,SVGN,DSOV,BBB,7-10yrs,0,REGS,2,0.13496,27261.00000,31245.91016,29744.47710,34092.41257,1.09110,27261.00000,31245.91016,1.00000,23495.77558,26930.29944,0.86188,4397274.77208,5040051.81251,161.30277,44860.08159,51417.55912,1.64558,40329.04928,46224.19759,1.47937,25864.31006,29645.05735,0.94877,212104.89175,243109.58481,7.78052,232313.28949,266271.96991,8.52182,39696.97914,45499.73382,1.45618,9.17260,1.89062,112.72700,4.07148,4.07148,4.07148,5.10082,137.96307,139.02128,125.37842,7.26551,7.12055,7.12055,7.12055,7.12055,7.13988,7.13988,7.22051,0.62557,0.64121
